cólera	149
vibrio	292
cholerae	97
01	253
biotipo	168
clásico	78
el	40
tor	25
no	67537
especificado	15091
fiebres	64
tifoidea	156
paratifoidea	79
fiebre	2005
infección	10981
debida	7871
salmonella	8610
typhi	114
especificada	15806
meningitis	716
afectación	529
cardiaca	365
endocarditis	456
miocarditis	366
neumonía	1301
artritis	2480
osteomielitis	1154
complicaciones	1525
a	3705
b	4515
c	2234
paratyphi	98
neom	3767
otras	1733
infecciones	505
debidas	255
enteritis	430
salmonelosis	14
sepsis	590
especificadas	3254
pielonefritis	188
nefropatía	590
túbulo-intersticial	35
shigelosis	28
shigella	289
dysenteriae	43
grupo	8711
disentería	101
shiga-kruse	1
flexneri	61
boydii	80
sonnei	20
d	4721
bacilar	32
intestinales	239
bacterianas	142
escherichia	2250
coli	2771
enteropatógena	70
enterotoxígena	4
enteroinvasiva	49
enterohemorrágica	123
campylobacter	295
yersinia	297
enterocolítica	3
enterocolitis	123
clostridium	884
difficile	93
colitis	405
seudomembranosa	30
intoxicación	13950
alimentaria	354
intestinal	2184
bacteriana	1718
intoxicaciones	27
alimentarias	49
clasificadas	1439
bajo	2921
concepto	10172
estafilocócica	240
botulismo	44
clásica	146
botulinum	163
perfringens	209
welchii	21
necrotizante	156
pig-bel	2
parahaemolyticus	19
bacillus	401
cereus	28
vulnificus	20
bacterias	500
amebiasis	55
amebiana	88
aguda	6567
crónica	6467
disentérica	14
ameboma	8
absceso	3394
amebiano	42
hígado	2416
hepática	1222
pulmón	3008
cerebro	1468
cutánea	5493
localizaciones	1395
cistitis	264
genitourinarias	132
amebianas	2
balanitis	82
vesiculitis	24
vulvovaginitis	90
esplénico	257
apendicitis	153
enfermedades	3256
protozoos	59
balantidiasis	4
balantídica	1
giardiasis	4
lambliasis	3
criptosporidiosis	14
isosporiasis	18
coccidiosis	33
isospora	37
belli	19
hominis	123
isosporosis	3
ciclosporosis	3
microsporidiosis	19
sarcocistosis	3
sarcosporidiosis	4
tricomoniasis	47
enfermedad	15291
diarrea	553
flagelados	5
virus	9154
organismos	211
especificados	3925
rotavirus	207
gastroenteropatía	25
agente	3502
norwalk	33
redondos	15
pequeños	180
norovirus	33
organismo	46454
similar	287
srv	4
adenovirus	508
virales	243
calicivirus	45
astrovirus	44
enterovirus	254
ncoc	16540
torovirus	17
coxsackie	320
echo	41
viral	1403
gastroenteritis	308
infecciosas	436
infecciosa	1774
tuberculosis	1488
respiratoria	1297
bronquiectasias	36
tuberculosas	7
fibrosis	837
tuberculosa	443
neumotórax	141
tuberculoso	514
ganglios	2413
linfáticos	2445
intratorácicos	217
mediastino	500
hiliares	26
traqueobronquiales	25
laringe	1442
tráquea	1069
bronquios	144
glotis	125
pleuritis	78
empiema	91
pleural	639
primaria	5734
respiratorias	677
nariz	1858
nasofaringe	580
seno	3317
nasal	3316
mediastínica	171
sistema	11309
nervioso	2787
meninges	675
cerebral	4390
espinal	4768
leptomeningitis	8
tuberculoma	31
meníngeo	31
médula	4473
meningoencefalitis	138
mielitis	148
neuritis	303
mononeuropatía	92
polineuropatía	377
órganos	2226
huesos	1288
articulaciones	747
columna	4421
espondilitis	101
mal	732
pott	15
curvatura	293
vertebral	4722
cadera	4194
articulación	14863
rodilla	4524
mastoiditis	99
musculoesqueléticas	49
miositis	506
sinovitis	387
tenosinovitis	299
aparato	2368
genitourinario	446
riñón	2599
uréter	1488
vejiga	2534
urinarios	178
uretritis	123
próstata	1535
genitales	1359
masculinos	441
cuello	7517
uterino	2799
inflamatoria	673
pélvica	1455
femenina	1220
endometritis	97
ooforitis	75
salpingitis	175
femeninos	506
ulceración	1036
vulva	1430
linfadenopatía	408
periférica	1104
adenitis	53
intestino	3737
peritoneo	636
mesentéricos	30
peritonitis	425
ascitis	180
ano	993
recto	2093
grueso	1161
delgado	1552
retroperitoneal	302
retroperitoneales	29
piel	12134
tejido	8550
subcutáneo	3542
eritema	541
indurado	27
escrofuloderma	6
lupus	481
excedens	1
vulgaris	169
párpado	3023
oído	3589
externo	3413
ojo	5678
epiescleritis	57
queratitis	388
intersticial	699
queratoconjuntivitis	201
flictenular	18
coriorretinitis	125
iridociclitis	158
conjuntivitis	621
interno	2423
medio	5516
otitis	845
media	2366
glándulas	656
suprarrenales	78
addison	59
glándula	5828
tiroides	1194
endocrinas	135
hipófisis	468
timo	427
tracto	2743
digestivo	918
cardíaca	2637
miocardiopatía	441
pericarditis	446
esplénica	289
músculo	11202
arteritis	161
miliar	82
solo	680
sitio	2021
sitios	797
múltiples	4253
miliares	7
peste	133
bubónica	4
celulocutánea	4
neumónica	14
septicémica	18
formas	234
abortiva	14
asintomática	165
minor	35
tularemia	88
ulceroglandular	4
oculoglandular	9
oftálmica	1671
pulmonar	6246
gastrointestinal	1939
abdominal	4520
generalizada	699
carbunco	113
ántrax	298
cutáneo	2126
maligno	2871
pústula	9
maligna	13868
inhalación	1085
cardadores	2
lana	109
traperos	3
septicémico	20
brucelosis	81
brucella	221
melitensis	35
abortus	83
suis	121
canis	198
