adreno	cápsulas suprarrenales
amnios	placenta
andros	masculino
angios	conducto
blefar	párpados
blefaro	párpados
cefalos	cráneo
cerviz	cuello
cirros	nubes
emesis	vómito
enteros	intestino
eritros	rojo
estenos	estrechamiento
estoma	boca
gingiv	encías
gingivo	encías
gingivos	encías
gine	femenino
ginos	femenino
perineo	perineo
hepatos	hígado
leucos	blanco
megalos	grande
menos	menstruación
orquis	testículos
otos	oído
plastia	cirugía reparadora
ptosis	descolgamiento
terapia	curar
alveolo	alveolo
ano	ano
osteo	hueso
aórtico	aorta
apendico	apéndice
apéndico	apéndice
arteri	arteria
arterio	arteria
artero	arteria
arter	arteria
atrio	atrio
auriculo	oreja
bulbo	bulbo
celulo	célula
cerebro	cerebro
cerebr	cerebro
cervico	cuello
coracoideo	coracoides
corporo	corporal
corpora	corporal
craneo	craneo
crane	craneo
cutaneo	piel
dors	dorso
dorso	dorso
duro	duramadre
encefalo	encéfalo
esofag	esófago
esofago	esófago
estesio	sensibilidad
estesi	sensibilidad
ganglio	glándula
intestino	intestino
lumb	lumbar
lumbo	lumbar
mediastino	mediastino
muco	mucosidad
musculo	músculo
músculo	músculo
occipito	occipital
óculo	ojos
patelo	rótula
patela	rótula
pelvi	pelvis
pelvio	pelvis
pelvo	pelvis
pubo	pubis
pub	pubis
pulmono	pulmón
rect	recto
recto	recto
retino	retina
sacro	sacro
sigmoidea	sigmoide
sigmoido	sigmoide
ureter	uréter
certero	uréter
uretero	uréter
uretro	uretra
uretra	uretra
uretr	uretra
utero	útero
vagino	vagina
vago	vago
vasculo	vascular
vaso	vaso
velo	velo
vesico	vejiga
vulvo	vulva
yeyun	yeyuno
yeyuno	yeyuno
centesis	punción
cocos	coco
coc	coco
Fob	miedo
Fobia	miedo
terap	tratamiento
terapo	tratamiento
viscer	intestino
viscero	intestino
pancreat	páncreas
pancreato	páncreas
estesia	sensación
tubo	tubo
